X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
174.872560000497941,-36.91276749935011,1749065,2320,2320,Aylesbury St outside Pakuranga Library,,Stop,-36.9127675,174.87256,31562,School Bus
174.894710000514237,-37.007760276799928,1749066,2324,2324,42 Orams Rd,,Stop,-37.00776028,174.89471,51223,School Bus
174.925109999898751,-36.930924165480022,1749067,2327,2327,47 Westerham Dr,,Stop,-36.93092417,174.92511,31704,School Bus
174.934720000412909,-36.903829166065421,1749068,2332,2332,Paparoa Rd,,Stop,-36.90382917,174.93472,31718,School Bus
174.867908333056647,-36.986578054447875,1749069,2338,2338,Waka Pacific Wiri Depot,,Stop,-36.98657806,174.86790833,51250,School Bus
174.903019999433809,-36.943168332023099,1749070,2340,2340,Redcastle Cres,,Stop,-36.94316833,174.90302,31725,School Bus
174.874370000436954,-36.982715554815819,1749071,2344,2344,30 Puhinui Rd,,Stop,-36.98271556,174.87437,51248,School Bus
174.831680000079871,-36.982061665929372,1749072,2346,2346,8 Selfs Rd,,Stop,-36.98206167,174.83168,51287,School Bus
174.848559999914954,-36.979231387766461,1749073,2348,2348,10 Hillcrest Rd,,Stop,-36.97923139,174.84856,51305,School Bus
174.837515277585936,-36.964494443305824,1749074,2350,2350,82 Gray Ave,,Stop,-36.96449444,174.83751528,51378,School Bus
174.89083000007841,-37.009072499416249,1749075,2354,2354,2 Orams Rd,,Stop,-37.0090725,174.89083,51086,School Bus
174.940159999964692,-37.017148054951484,1749076,2358,2358,Alfriston Primary,,Stop,-37.01714806,174.94016,10511,School Bus
174.918139999900717,-37.018127221214385,1749077,2360,2360,Alfriston College,,Stop,-37.01812722,174.91814,10512,School Bus
174.866520000145357,-37.026755555086154,1749078,2362,2362,Opp 389 Roscommon Rd,,Stop,-37.02675556,174.86652,51171,School Bus
174.908505555713191,-37.022529166134262,1749079,2370,2370,14 Scotts Rd,,Stop,-37.02252917,174.90850556,51214,School Bus
174.891069999686465,-36.981622221232762,1749080,2374,2374,66 Boundary Rd,,Stop,-36.98162222,174.89107,31817,School Bus
174.92879999995219,-36.895706110237924,1749081,2376,2376,66 Wellington St,,Stop,-36.89570611,174.9288,31609,School Bus
174.880919999751683,-37.051796387727236,1749082,2378,2378,192 Carnoustie Dr,,Stop,-37.05179639,174.88092,51125,School Bus
174.852669999953321,-36.988949443965915,1749083,2398,2398,58 Milan Rd by Papatoetoe South School,,Stop,-36.98894944,174.85267,51276,School Bus
174.922960000404714,-36.91938027664974,1749084,2400,2400,Star Of The Sea School Bus Bay,,Stop,-36.91938028,174.92296,31688,School Bus
174.885670555968943,-37.034841388117698,1749085,2404,2404,James Cook High Bus Bay,,Stop,-37.03484139,174.88567056,51145,School Bus
174.925594444492958,-36.898331665665715,1749086,2408,2408,Nelson St outside Owairoa School,,Stop,-36.89833167,174.92559444,31610,School Bus
174.914100278314379,-36.882399721004255,1749087,2410,2410,Macleans College Bus Bay,,Stop,-36.88239972,174.91410028,31588,School Bus
174.925030000399033,-36.931674166020905,1749088,2414,2414,Westerham Dr near Drumquin Rise,,Stop,-36.93167417,174.92503,31704,School Bus
174.891253611039843,-36.896561943735037,1749089,2428,2428,Farm Cove Intermediate Bus Bay,,Stop,-36.89656194,174.89125361,31572,School Bus
174.91455916651293,-37.042208332320328,1749090,2706,2706,16 Beaumaris Way,,Stop,-37.04220833,174.91455917,51072,School Bus
174.914510000307644,-37.04092333242297,1749091,2711,2711,5 Beaumaris Way,,Stop,-37.04092333,174.91451,51072,School Bus
174.911399999496354,-37.044952221031181,1749092,2712,2712,Conifer Grove Temporary Stop,,Stop,-37.04495222,174.9114,51620,School Bus
174.743010000212934,-36.709278888016989,1749093,3044,3044,4 Deep Creek Rd,,Stop,-36.70927889,174.74301,41562,School Bus
174.736830000366979,-36.730551943418227,1749094,3133,3133,181 Browns Bay Rd,,Stop,-36.73055194,174.73683,41582,School Bus
174.726259999861753,-36.707550832359942,1749095,3161,3161,899 East Coast Rd,,Stop,-36.70755083,174.72626,41594,School Bus
174.721260000117354,-36.702574999518461,1749096,3177,3177,1048 East Coast Rd,,Stop,-36.702575,174.72126,41621,School Bus
174.727840833480911,-36.709889443578916,1749097,3185,3185,942 East Coast Rd,,Stop,-36.70988944,174.72784083,41573,School Bus
174.745663610684943,-36.735258332537327,1749098,3208,3208,Opp Murrays Bay Intermediate,,Stop,-36.73525833,174.74566361,41524,School Bus
174.739460000206833,-36.747209999522937,1749099,3210,3210,326 Sunset Rd,,Stop,-36.74721,174.73946,41403,School Bus
174.742201110676035,-36.76073472156439,1749100,3225,3225,Outside Wairau Intermediate,,Stop,-36.76073472,174.74220111,41515,School Bus
174.754549999528734,-36.776390832612073,1749101,3331,3331,41 Nile Rd,,Stop,-36.77639083,174.75455,41343,School Bus
174.744159721835757,-36.738916109904139,1749102,3336,3336,89 Penzance Rd,,Stop,-36.73891611,174.74415972,41522,School Bus
174.752029999609817,-36.781858887795039,1749103,3343,3343,3 Wairau Rd,,Stop,-36.78185889,174.75203,41111,School Bus
174.749560000221322,-36.763403888010522,1749104,3358,3358,52 Richards Ave,,Stop,-36.76340389,174.74956,41355,School Bus
174.752862777248794,-36.766436665699601,1749105,3366,3366,72 Selwyn Cr,,Stop,-36.76643667,174.75286278,41365,School Bus
174.752939167026767,-36.764546943544879,1749106,3368,3368,42 Selwyn Cr,,Stop,-36.76454694,174.75293917,41366,School Bus
174.771506110702887,-36.78817388805296,1749107,3377,3377,Takapuna Platform 1,,Stop,-36.78817389,174.77150611,41123,School Bus
174.751428333184322,-36.778688888210816,1749108,3382,3382,9 Nile Rd,,Stop,-36.77868889,174.75142833,41344,School Bus
174.750340833352226,-36.780659999373412,1749109,3384,3384,Opp 1 Wairau Rd,,Stop,-36.78066,174.75034083,49617,School Bus
174.735511389425284,-36.691173332415474,1749110,3385,3385,Long Bay Primary School,,Stop,-36.69117333,174.73551139,41826,School Bus
174.792339999542691,-36.813115832022348,1749111,3401,3401,65 Lake Rd,,Stop,-36.81311583,174.79234,41036,School Bus
174.797230000224999,-36.822361666115093,1749112,3403,3403,Lake Rd opp Ariho Tce,,Stop,-36.82236167,174.79723,41829,School Bus
174.806479999947442,-36.828398610554558,1749113,3429,3429,King Edward Pde Opp Cambridge Tce,,Stop,-36.82839861,174.80648,41018,School Bus
174.793680000314055,-36.815706665845866,1749114,3430,3430,46 Lake Rd,,Stop,-36.81570667,174.79368,41061,School Bus
174.804249999781518,-36.822883887543028,1749115,3439,3439,67 Vauxhall Rd,,Stop,-36.82288389,174.80425,41023,School Bus
174.802909999806417,-36.828665832236744,1749116,3451,3451,15 Church St,,Stop,-36.82866583,174.80291,41053,School Bus
174.802639999939942,-36.827480832160894,1749117,3453,3453,9 Vauxhall Rd,,Stop,-36.82748083,174.80264,41055,School Bus
174.80298999984791,-36.826095832374058,1749118,3455,3455,27 Vauxhall Rd,,Stop,-36.82609583,174.80299,41054,School Bus
174.804320000385076,-36.829705554655249,1749119,3464,3464,Opp 36 King Edward Pde,,Stop,-36.82970556,174.80432,41017,School Bus
174.808139999624586,-36.827045831986005,1749120,3468,3468,12 Cheltenham Rd,,Stop,-36.82704583,174.80814,41019,School Bus
174.808680000378729,-36.825792776869626,1749121,3470,3470,22 Cheltenham Rd,,Stop,-36.82579278,174.80868,41020,School Bus
174.807449999821699,-36.825020832538485,1749122,3472,3472,12 Tainui Rd,,Stop,-36.82502083,174.80745,41021,School Bus
174.806289999591343,-36.823525832456916,1749123,3474,3474,32 Tainui Rd,,Stop,-36.82352583,174.80629,41022,School Bus
174.795610000132484,-36.807102776751314,1749124,3497,3497,55 Seacliffe Ave,,Stop,-36.80710278,174.79561,41064,School Bus
174.691230000109329,-36.722633054631352,1749125,3555,3555,5 The Avenue,,Stop,-36.72263306,174.69123,41651,School Bus
174.743770000254472,-36.739388888037411,1749126,3632,3632,St Johns School,,Stop,-36.73938889,174.74377,41522,School Bus
174.699041666714521,-36.682507498717854,1749127,3638,3638,East Coast Rd near Redvale Rise,,Stop,-36.6825075,174.69904167,41824,School Bus
174.691200833263764,-36.747946109816262,1749128,3640,3640,Albany Junior High School Bus Bay,,Stop,-36.74794611,174.69120083,41492,School Bus
174.722959999708024,-36.724575832562643,1749129,3644,3644,Spencer Rd,,Stop,-36.72457583,174.72296,41819,School Bus
174.749218610848231,-36.77611499923033,1749130,3650,3650,Opp 53 Forrest Hill Rd,,Stop,-36.776115,174.74921861,41347,School Bus
